ID,Event Type,X,Y,Selector,Content,Timestamp,Created At
314812,mousemove,524,356,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:22 UTC,2026-03-21 08:11:22 UTC
314813,slider,,,.native-slider-3,,2026-03-21 08:11:22 UTC,2026-03-21 08:11:23 UTC
314814,slider,,,.native-slider-3,,2026-03-21 08:11:23 UTC,2026-03-21 08:11:23 UTC
314815,mousemove,822,356,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:23 UTC,2026-03-21 08:11:23 UTC
314816,slider,,,.native-slider-3,,2026-03-21 08:11:23 UTC,2026-03-21 08:11:23 UTC
314817,slider,,,.native-slider-3,,2026-03-21 08:11:23 UTC,2026-03-21 08:11:23 UTC
314818,slider,,,.native-slider-3,,2026-03-21 08:11:23 UTC,2026-03-21 08:11:23 UTC
314819,mousemove,1018,355,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:23 UTC,2026-03-21 08:11:23 UTC
314820,mousemove,1051,355,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:23 UTC,2026-03-21 08:11:24 UTC
314821,mousemove,1052,355,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:25 UTC,2026-03-21 08:11:25 UTC
314822,mousemove,1054,355,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:26 UTC,2026-03-21 08:11:26 UTC
314823,mousemove,1056,355,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:27 UTC,2026-03-21 08:11:27 UTC
314824,slider,,,.native-slider-3,,2026-03-21 08:11:27 UTC,2026-03-21 08:11:27 UTC
314825,mousemove,1114,355,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:28 UTC,2026-03-21 08:11:28 UTC
314826,slider,,,.native-slider-3,,2026-03-21 08:11:28 UTC,2026-03-21 08:11:28 UTC
314827,slider,,,.native-slider-3,,2026-03-21 08:11:30 UTC,2026-03-21 08:11:30 UTC
314828,mousemove,1040,361,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container.disabled > input.native-slider,,2026-03-21 08:11:30 UTC,2026-03-21 08:11:30 UTC
314829,mousemove,962,378,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-ticks > span,,2026-03-21 08:11:30 UTC,2026-03-21 08:11:30 UTC
314830,scroll,,,,,2026-03-21 08:11:30 UTC,2026-03-21 08:11:30 UTC
314831,mousemove,937,378,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper,,2026-03-21 08:11:30 UTC,2026-03-21 08:11:30 UTC
314832,mousemove,694,344,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container,,2026-03-21 08:11:31 UTC,2026-03-21 08:11:31 UTC
314833,mousemove,604,290,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:31 UTC,2026-03-21 08:11:31 UTC
314834,mousemove,564,291,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:31 UTC,2026-03-21 08:11:31 UTC
314835,mousemove,725,294,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:32 UTC,2026-03-21 08:11:32 UTC
314836,mousemove,892,288,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:32 UTC,2026-03-21 08:11:32 UTC
314837,mousemove,962,286,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:32 UTC,2026-03-21 08:11:32 UTC
314838,mousemove,975,286,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:32 UTC,2026-03-21 08:11:33 UTC
314839,mousemove,1012,285,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:33 UTC,2026-03-21 08:11:33 UTC
314840,mousemove,639,306,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section,,2026-03-21 08:11:33 UTC,2026-03-21 08:11:33 UTC
314841,mousemove,554,301,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section,,2026-03-21 08:11:33 UTC,2026-03-21 08:11:33 UTC
314842,mousemove,560,294,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:34 UTC,2026-03-21 08:11:34 UTC
314843,mousemove,548,305,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section,,2026-03-21 08:11:34 UTC,2026-03-21 08:11:34 UTC
314844,mousemove,530,330,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:34 UTC,2026-03-21 08:11:34 UTC
314845,mousemove,528,333,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:35 UTC,2026-03-21 08:11:35 UTC
314846,mousemove,528,334,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:43 UTC,2026-03-21 08:11:44 UTC
314847,slider,,,.native-slider-4,,2026-03-21 08:11:43 UTC,2026-03-21 08:11:44 UTC
314848,mousemove,605,353,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:44 UTC,2026-03-21 08:11:44 UTC
314849,slider,,,.native-slider-4,,2026-03-21 08:11:44 UTC,2026-03-21 08:11:44 UTC
314850,mousemove,739,355,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:44 UTC,2026-03-21 08:11:44 UTC
314851,slider,,,.native-slider-4,,2026-03-21 08:11:44 UTC,2026-03-21 08:11:44 UTC
314852,mousemove,861,352,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:44 UTC,2026-03-21 08:11:45 UTC
314853,mousemove,870,351,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:47 UTC,2026-03-21 08:11:47 UTC
314854,slider,,,.native-slider-4,,2026-03-21 08:11:47 UTC,2026-03-21 08:11:47 UTC
314855,mousemove,928,346,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:47 UTC,2026-03-21 08:11:47 UTC
314856,mousemove,980,346,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:48 UTC,2026-03-21 08:11:48 UTC
314857,slider,,,.native-slider-4,,2026-03-21 08:11:49 UTC,2026-03-21 08:11:49 UTC
314858,slider,,,.native-slider-4,,2026-03-21 08:11:49 UTC,2026-03-21 08:11:49 UTC
314859,mousemove,1076,346,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container.disabled,,2026-03-21 08:11:49 UTC,2026-03-21 08:11:49 UTC
314860,mousemove,928,388,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-labels,,2026-03-21 08:11:49 UTC,2026-03-21 08:11:50 UTC
314861,scroll,,,,,2026-03-21 08:11:50 UTC,2026-03-21 08:11:50 UTC
314862,mousemove,896,390,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:50 UTC,2026-03-21 08:11:50 UTC
